raw_string,canonical_name
3 M,3M
3G METALWORX,3GMETALWORX INC
3G SHIELDING SPECIALTIES,3G SHIELDING SPECIALTIES LP
3L ELECTRONIC CORP.,3L ELECTRONIC CORP
3L ELECTRONIC GROUP,3L ELECTRONIC CORP
3M,3M
3PEAK,3PEAK INCORPORATED
A-BRIGHT,"A-BRIGHT INDUSTRIAL CO., LTD."
AAC,AMERICAN ACCURATE COMPONENTS
AAVID,AAVID THERMALLOY
AAVID (BOYD),AAVID THERMALLOY
AAVID THERMALLOY,AAVID THERMALLOY
"AAVID THERMALLOY, LLC",AAVID THERMALLOY
ABC,ABC TAIWAN ELECTRONICS CORP
ABC CORP,ABC TAIWAN ELECTRONICS CORP
ABC ELECTRONICS,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN ELECTRIC,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN ELECTRONIC,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN ELECTRONIC CORP,ABC TAIWAN ELECTRONICS CORP
ABLIC,ABLIC INC
ABRACON,"ABRACON, LLC"
ABRACON CORP,"ABRACON, LLC"
ABRACON CORPORATION,"ABRACON, LLC"
ABRACON LLC,"ABRACON, LLC"
ABRACON LLC.,"ABRACON, LLC"
ACCELERATED / DIGI INTERNATIONAL,DIGI INTERNATIONAL INC
ACCELERATED CONCEPTS,DIGI INTERNATIONAL INC
"ACCELERATED CONCEPTS, INC",DIGI INTERNATIONAL INC
ACCELERATED MEMORY,"ACCELERATED MEMORY PRODUCTION, INC."
"ACCELERATED MEMORY PRODUCTION, INC.","ACCELERATED MEMORY PRODUCTION, INC."
ACCONEER,ACCONEER AB
ACCONEER AB,ACCONEER AB
ACCU LTD,ACCU LIMITED
ACTIVE-SEMI / QORVO,"QORVO, INC"
ACTIVE-SEMI INTERNATIONAL,"QORVO, INC"
ADAM TECH,ADAM TECH
ADAMTECH,ADAM TECH
ADESTO,RENESAS ELECTRONICS CORPORATION
ADESTO / DIALOG SEMICONDUCTOR,RENESAS ELECTRONICS CORPORATION
ADESTO TECHNOLOGIES,RENESAS ELECTRONICS CORPORATION
ADI,"ANALOG DEVICES, INC"
ADI (ANALOG DEVICES INC.),"ANALOG DEVICES, INC"
"ADI (ANALOG DEVICES, INC.)","ANALOG DEVICES, INC"
ADVANCED LINEAR DEVICES,"ADVANCED LINEAR DEVICES, INC"
"ADVANCED LINEAR DEVICES, INC.","ADVANCED LINEAR DEVICES, INC"
AGILENT,BROADCOM INC
AGILENT AVAGO,BROADCOM INC
AGILENT TECHNOLOGIES,BROADCOM INC
AGILENT/AVAGO/BROADCOM,BROADCOM INC
AIMTEC,AIMTEC
AIRPAX,"SENSATA TECHNOLOGIES, INC"
AIRPAX / SENSATA,"SENSATA TECHNOLOGIES, INC"
AIRPAX / SENSATA TECHNOLOGIES,"SENSATA TECHNOLOGIES, INC"
ALCOSWITCH / TE CONNECTIVITY,TE CONNECTIVITY
ALCOSWITCH SWITCHES / TE CONNECTIVITY,TE CONNECTIVITY
ALCOSWITCH/TYCO,TE CONNECTIVITY
ALLEGRO,"ALLEGRO MICROSYSTEMS, INC"
ALLEGRO MICROSYSTEMS,"ALLEGRO MICROSYSTEMS, INC"
ALLEGRO MICROSYSTEMS INC,"ALLEGRO MICROSYSTEMS, INC"
"ALLEGRO MICROSYSTEMS, LLC","ALLEGRO MICROSYSTEMS, INC"
ALLIANCE MEMORY,ALLIANCE MEMORY
"ALLIANCE MEMORY, INC.",ALLIANCE MEMORY
ALPHA & OMEGA,ALPHA AND OMEGA SEMICONDUCTOR
ALPHA & OMEGA SEMICONDUCTOR,ALPHA AND OMEGA SEMICONDUCTOR
ALPHA AND OMEGA SEMICONDUCTOR,ALPHA AND OMEGA SEMICONDUCTOR
"ALPHA AND OMEGA SEMICONDUCTOR, INC.",ALPHA AND OMEGA SEMICONDUCTOR
ALPHA OMEGA,ALPHA AND OMEGA SEMICONDUCTOR
