Task,AVG(MIN),Cumulative %
Create new PN names where needed,250.0,0.211864406779661
Sanitise description of the parts (Create New Part Description),120.0,0.3135593220338983
"Check customer BOM against Quoted BOM
Rev check, MPN, Ref Des, QTY or check new customer BOM against Movex BOM",120.0,0.4152542372881356
Populate Product & Procurement Group,120.0,0.5169491525423728
Populate Procurement Parameters,120.0,0.6186440677966101
Check which PN are already created in Movex,60.0,0.6694915254237287
"Get Operation No for each part (Split BOM SMT, TH, Mechanical, Packing)",60.0,0.7203389830508473
Invalid MPNs,30.0,0.7457627118644067
Search and propose correct MPNs,30.0,0.771186440677966
Populate SRX PN & SC Template,30.0,0.7966101694915254
Find and Populate Manufacturer No,30.0,0.8220338983050848
Populate SRX MPN Template,30.0,0.8474576271186441
Populate SRX BOM Template,30.0,0.8728813559322035
Raise ECN Stargile for BOM,30.0,0.8983050847457629
Check Movex BOM (uploaded by ECN) against original customer BOM,30.0,0.9237288135593222
Send BOM to the customer for a final check,30.0,0.9491525423728816
Raise ECN Stargile for PN & SC,15.0,0.9618644067796612
Raise ECN Stargile for MPN,15.0,0.9745762711864409
Populate SRX Route Template,15.0,0.9872881355932205
Raise ECN Stargile for Route,15.0,1.0000000000000002
Ref Des <> QTY mismatch,0.0,1.0000000000000002
,,
Total,1180.0,
