ECN ID,ECN Line,Is New Item,Item No,Item Status,Item Name,Item Description,Drawing No,Procurement Group,Product Group,Item Group,Unit Of Measurement,Revision No,Item Template No,Supplier,Responsible,Buyer,Purchase Price,Supply Lead Time,Reorder Point,Order Multiple,Economical Qty Days,User Defined Item Field,Order Type,Customer Alias,Lead Free Code,Good Receiving Method,Minimun Order Quantity,MSD Level,Safety Time,ABC Class - Manual,Physical Inventory Cycle,Purchase Price Currency,Business area,Administrative lead time,Normal Waste Percentage,Update Status
,,,,"20 = Active
90 = Inactive",Delete rows 2 to 6 before uplaod!,,,"Refer ""Proc & Prod Grp Matrix"" Tab","Refer ""Proc & Prod Grp Matrix"" Tab","Movex Customer Code
(Ref CRS610)","Refer ""Units of Measure"" Tab
Careful! - This field cannot be changed once part has transactoins.",,"This is the Movex P/N that is copied to create the new P/N.
Leave this field blank if ""Is New Item"" = FALSE",,"Program Manager - Use generic username
PRGMGRD01 for Melb
PRGMGRL01 for JB",,,,,,,,"001 for Product Stock Code
010 for Component","Customer Part Number
(If Available)","BBB = NON-ROHS
PBF = ROHS","010 = Direct Put Away
020 = Receive Inspect",,,,,,,,,,Always 20
,Purchasing to fill in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Engineering to fill in (Optional Fields),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Engineering to fill in (Mandatory Fields),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,LFXX05NNNN,20,PRODUCT STOCK CODE,,,PCA,PCBA,xxxx,EA,,T-FINALASSEMB D,,PRGMGRD01,,,,,,,,001,,PBF,010,,,,,,,,,,20
,,1.0,LFXXXXNNNN,20,CUSTOMER SUPPLIED PART,,,CSP,CSP,xxxx,xx,,T-RAWMATERIAL D,,PRGMGRD01,YPKHOR10,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX10NNNN,20,PCB RIGID,,,PCB,RIGID,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,020,,,,,,,,,,20
,,1.0,LFXX10NNNN,20,PCB FLEX,,,PCB,FLEXI,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,020,,,,,,,,,,20
,,1.0,LFXX11NNNN,20,RESISTOR TH / THERMISTOR,,,PAS,RES,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX12NNNN,20,RESISTOR SMD,,,PAS,RES,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX13NNNN,20,"RESNET, RESISTOR NETWORK / ARRAY",,,PAS,RES,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX14NNNN,20,VARISTOR / TRIMPOT,,,PAS,RES,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX20NNNN,20,CAPACITOR TH,,,PAS,CAPS,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX21NNNN,20,CAPACITOR SMD,,,PAS,CAPS,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX22NNNN,20,VARIABLE CAPACITOR,,,PAS,CAPS,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
,,1.0,LFXX24NNNN,20,DIODE TH,,,ACT,DIODE,xxxx,EA,,T-RAWMATERIAL D,,PRGMGRD01,,,,,,,,010,,PBF,010,,,,,,,,,,20
