C P/N,Comment,Unnamed: 2,Description,Designator,Footprint,LoadStatus,Quantity,Category,Manufacturer 1,Manufacturer 1 Part Number,Manufacturer 2,Manufacturer 2 Part Number
,22nF,smd,CAP FEEDTHRU 0.022UF 50V 1206,C1,NFM31PC/31KC,Load,1,Capacitors,Murata Electronics,NFM31HK223R1H3L,,
,100nF,smd,CAP CER 0.1uF 50V X7R 0402,"C2, C10, C13, C14, C16, C17, C18",C0402,Load,7,Capacitors,Murata Electronics,GRM155R71H104ME14J,,
,47uF,smd,CAP CER 47uF 10V X5R 0805,"C3, C4, C6, C7, C8, C9",C0805,Load,6,Capacitors,Murata Electronics,GRM21BR61A476ME15L,,
,47pF,smd,CAP CER 47pF 50V C0G/NP0 0402,"C5, C15",C0402,Load,2,Capacitors,Murata Electronics,GCM1555C1H470JA16D,,
RD-111-0003,10nF,smd,CAP CER 10000pF 50V X7R 0402,"C11, C12",C0402,Load,2,Capacitors,Murata Electronics,GRM155R71H103KA88J,,
RD-111-0058,1uF,smd,CAP CER 1uF 10V X7R 0402,"C19, C24",C0402,Load,2,Capacitors,Murata Electronics,GRM155Z71A105KE01J,,
111-0800,100nF,smd,CAP CER 0.1uF 16V X7S 0201,"C20, C21, C22, C23",C0201,Load,4,Capacitors,Murata Electronics,GRM033C71C104KE14D,,
,PESD0402-140,smd,TVS DIODE 14VWM 40VC 0402,"D1, D2, D3",PESD0402,Load,3,TVS - Diodes,Littelfuse Inc.,PESD0402-140,,
,ADM7172ACPZ-R7,smd,IC REG LINEAR 1.8V 2A 8LFCSP,IC1,CP-8-21 - ADI,Load,1,IC,Analog Devices Inc.,ADM7172ACPZ-1.8-R7,,
,SN74LVC1G07DCKR,smd,IC BUF NON-INVERT Open-Drain Output 5.5V SC70-5,"IC2, IC3, IC5",DCK0005A_SC70-5 - TI,Load,3,IC,Texas Instruments,SN74LVC1G07DCKR,,
,LT6000CDCB#TRPBF,smd,IC OPAMP GP 1 CIRCUIT 6DFN,IC4,DFN-6_DCB - ADI,Load,1,IC,Analog Devices Inc.,LT6000CDCB#TRPBF,,
,ZED-F9T-00B,smd,RF RECEIVER GNSS/GPS 54LGA,IC6,ZED-F9T-00B,Load,1,Module,u-blox,ZED-F9T-00B,,
,NC7SZ125P5X,smd,IC BUF NON-INVERT 3-State Output_x000D_5.5V SC70-5,"IC7, IC8, IC9",DCK0005A_SC70-5 - TI,Load,3,IC,ONSEMI,NC7SZ125P5X,,
,TMUX1119DCKR,smd,IC SWITCH SPDT X 1 4OHM SC70-6,IC10,DCK0006A_SC70-6 - TI,Load,1,IC,Texas Instruments,TMUX1119DCKR,,
,47nH,smd,FIXED IND 47nH 300mA 720 mOHM,L1,IND0402,Load,1,Inductor,Murata Electronics,LQG15HS47NJ02D,,
,SI1013CX-T1-GE3,smd,MOSFET P-CH 20V 450MA SC89-3,Q1,SC-89-3 - Vishay,Load,1,MOSFETs,Vishay Siliconix,SI1013CX-T1-GE3,,
,8.45k,smd,RES SMD 8.45KOHM 0.1% 1/16W 0402,R1,R0402,Load,1,Resistors,Yageo,RT0402BRD078K45L,,
RD-101-0013,100k,smd,RES SMD 100K OHM 1% 1/16W 0402,"R2, R6",R0402,Load,2,Resistors,Yageo,RC0402FR-07100KL,,
,10.1k,smd,RES SMD 10.1K OHM 0.1% 1/16W 0402,R3,R0402,Load,1,Resistors,Yageo,RT0402BRE0710K1L,,
,1k,smd,RES SMD 1K OHM 1% 1/16W 0402,R4,R0402,Load,1,Resistors,Yageo,RC0402FR-071KL,,
,10R,smd,RES 10 OHM 5% 1/2W 0805,R5,R0805,Load,1,Resistors,YAGEO,SR0805JR-4710RL,,
RD-101-0003,0R,smd,RES SMD 0 OHM JUMPER 1/16W 0402,"R7, R11, R12, R14, R17, R18, R21",R0402,Load,7,Resistors,YAGEO,RC0402FR-070RL,,
,49.9R,smd,RES SMD 49.9 OHM 1% 1/20W 0201,"R10, R16, R19",R0201,Load,3,Resistors,YAGEO,RC0201FR-0749R9L,,
,49.9R,smd,RES SMD 49.9 OHM 1% 1/2W 2010,R20,R2010,Load,1,Resistors,YAGEO,RT2010FKE0749R9L,,
,901-10510-1,th,CONN SMA JACK R/A 50OHM EDGE MNT,"J2, J3, J4",901-10510-1,Load,3,Connetors,Amphenol RF,901-10510-1,,
