Doc No.: PFM-0005-MEL Rev 7.0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Batch Size,Labour Hours,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CUSTOMER: ,Liquid Instruments,PREPARED BY: ,,Branko Polak,,50,0,,TYPE OF BUILD:,Med Vol,,,,,,,Select Cell & Select from drop down menu,,,
,,,,,,,,,,,,,,,,,,,,,
,PRODUCT PART NUMBER: ,"MA-EE-AS00015
04_LI_GNSS",,REVIEWED BY: ,,,100,0,,ASSUMPTIONS TO BE CONSIDERED FOR THE CUSTOMER QUOTATION:,"• Data Pack: 04_LI_GNSS_RELEASE-main
• PCB finish IMMERSION GOLD.  PCB thickness 1.0mm
• 2.5min FPT time included
• 2.5 min FCT time included per assembly doc - TBC.
• Assume SMA connectors J2, J3, J4 can withstand SMT reflow temperatures.  Propose to hand place at SMT and run through reflow, with additional touch-up of TH leads post SMT.  Will require SMT pallet to support SMA's.",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,PRODUCT DESCRIPTION: ,GNSS PCBA,,DATE: ,2025-10-03 00:00:00,,250,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,SRX STOCK CODE: ,,,,ONLY ENTER DARK YELLOW HIGHLIGHTED CELLS (qty),,500,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,QUOTE NUMBER: ,,,,ONLY ENTER PURPLE HIGH-LIGHTED CELLS (time in minutes),,1000,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Setup,Labour,Grand Total (Minutes),(Hrs),,,,,,,,,,,,,,,
,TOTAL TIME PER (Quote),,4.375441573333332,22.163845599999995,26.539287173333328,0.4423214528888888,,Generates labour hours for batch sizes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hide?,TOTAL TIME PER (Movex),,3.708001333333333,18.782919999999997,22.49092133333333,0.37484868888888884,Cell Guidelines,,,,Non Recurring Expenditure,Qty,Unit Cost,Currency AUD/USD,Total Cost,UNIT,ADDITIONAL MATERIAL,"P/N
(if exists)",,Qty,UNIT
,,,,,,,,,,,SMT Stencil TOP,1,500,AUD,500,EA,SOLDER PASTE,,,0,grams
,PRODUCT INFORMATION:,,,,,Notes for this quotation:,,,,,SMT Stencil BOTTOM,1,500,AUD,500,EA,ESD BAG,,,0,EA
,BATCH SIZE,BATCH SIZE,,,100,,,,,,SMT Pallets,20,180,USD,3600,EA,LABEL,,,0,EA
,IPC STANDARD,,,,Class 2,,"Selecting Class 3: Increases ""Final QC Standard Inspection Time Per Component"" and ""SMT Run Inefficiency"" and ""Wave Percentage of Touch-Up"" and ""Hand Assembly Average Time to Solder TH Lead""",,,,Inspection Template BOTTOM,0,,,0,EA,PACKING BOX,,,0,EA
,LEAD FREE PROCESS,(RoHS Compliant = Lead Free),,,YES,,"Selecting Lead Free: Increases ""Hand Assembly Average Time to Solder TH Lead""",,,,Assembly Jigs,0,,,0,EA,,,,,
,SFDC REQUIRED,Shop Floor Data Collection,,,YES,,Adds 10 sec scanning time per PCB at various operations.,,,,Engineering Setup,1,500,AUD,500,HR,,,,,
x,SFDC SCANNING TIME PER PCB,10 sec,,,0.16666,,,,,,,,,,,,,,,,
,PTS REQUIRED,Parts Traceability System,,,YES,,"Adds to Kitting, SMT, and Manual Assy setup times to allow for labelling and scanning items into PTS.",,,,Wave Carriers,0,,,0,EA,,,,,
,PCBs PER PANEL,L,,,4,,,,,,ICT Fixture,0,,,0,EA,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,KITTING:,,,,,,,,,,FCT Fixture,0,,,0,EA,,,,,
,No. TYPES OF SMT PARTS,A,,,25,,,,,,Reference Unit,0,,,0,EA,,,,,
,No. TYPES OF NON-SMT PARTS,B2,,,1,,,,,,Profile board,0,,,0,Panel,,,,,
x,TIME PER TYPE OF SMT PART,3,,,3,,,,,,,,,,,,,,,,
x,TIME PER TYPE OF NON-SMT PART,5,,,5,,,,,,,,,,,,,,,,
x,PTS SPLITTING / LABELLING NON-SMT PARTS TIME PER PART,,,,3,,,,,,,,,,,,,,,,
x,PTS SPLITTING / LABELLING NON-SMT PARTS,,,,3,,,,,,,,,,,,,,,,
,SETUP PER PCB, ((A+B1)*3 + B2*5))/BATCH SIZE,,0.83,83,,,,,,Panelisation,0,,,0,EA,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,LABEL PRINTING (MACHINE):,,,,,,,,,,Other,0,,,0,,,,,,
x,SETUP TIME (Machine Labelling),15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB (Machine Labelling),15/BATCH SIZE,0.15,,15,,,,,,,,,,,,,,,,
,No. OF AUTO APPLIED LABELS (MACHINE LABELLING),D,,,1,,This cell for labels that are auto printed and placed by labelling machine.  For manually applied labels enter under prepping section.,,,,,,,,,,,,,,
x,Printing TIME PER AUTO LABELS,1,,,0.15,,Verification/adjustment required by Engineer,,,,,,,,,,,,,,
x,FORMULA:,,,,,,,,,,,,,,,,,,,,
,RUN PER PCB, D*1,,0.15,0.15,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,COMPONENT PREPPING & LABEL PRINTING:,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME (Manual Labelling),15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB (Label Printing),15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
,No. OF PRINTED LABELS ( Printing Only - To be Applied Later),D,,,0,,This cell only to print labels at prepping.  Time to apply label needs to be allowed for at later process.,,,,,,,,,,,,,,
x,Printing TIME PER PRINTED LABEL,1,,,0.1,,Verification/adjustment required by Engineer,,,,,,,,,,,,,,
,SETUP PER PCB (Prepping), (B2*4)/BATCH SIZE,0.04,,4,,,,,,,,,,,,,,,,
,TOTAL No. OF NON-SMT PARTS REQUIRING PREP,C2,,,1,,"For standard prep parts (lead trimming, bending, etc.).",,,,,,,,,,,,,,
